qid,granite_dense,bm25,hybrid_granite_bm25,convex_hybrid_granite_bm25
PLAIN-2430,0.09988280114199435,0.0,0.0,0.11591982604869
PLAIN-2440,0.8032019779930732,0.07716607426375235,0.4065323283763092,0.8349329333189665
PLAIN-2450,0.425035080064741,0.6173035877688688,0.627503943695282,0.481941637304645
PLAIN-2460,0.0,0.26350162434003327,0.3482738147688291,0.0521442648465579
PLAIN-2470,0.0,0.06943122193677727,0.11004588314904008,0.0
PLAIN-248,0.2874327599926105,0.038356439954197026,0.1571042679984798,0.2777839393790048
PLAIN-2480,0.0,0.09250131737557493,0.11506126747919432,0.08928199007170724
PLAIN-2490,0.0,0.0,0.0,0.0
PLAIN-2500,0.1854186432062671,0.12991403115678124,0.12669074888309204,0.1728613549514987
PLAIN-2510,0.0,0.0,0.0,0.0
PLAIN-2520,0.0,0.0,0.0,0.0
PLAIN-2530,0.12576434436832393,0.0,0.0,0.053905577064733715
PLAIN-2540,0.15537907391531905,0.0,0.10860531196831714,0.15537907391531905
PLAIN-2550,0.22976314255676591,0.113813114479808,0.113813114479808,0.24232520044617115
PLAIN-2560,0.0,0.1290515430196899,0.14982420171299154,0.0
PLAIN-2570,0.0,0.0,0.0,0.0
PLAIN-2580,0.3239134396887189,0.3239134396887189,0.3239134396887189,0.3239134396887189
PLAIN-259,0.3391602052736161,0.3391602052736161,0.3391602052736161,0.3391602052736161
PLAIN-2590,0.5208519217106355,0.503517056429946,0.7288527664935106,0.5717337947044496
PLAIN-2600,0.5062364171031187,0.11366150026645364,0.36311285472882043,0.49375277474833185
PLAIN-2610,0.1678842962280494,0.29420263302058774,0.29420263302058774,0.20400787375019785
PLAIN-2620,0.28923451102419495,0.16419170618909443,0.3338858231395944,0.3211267764971499
PLAIN-2630,0.6131471927654584,0.6131471927654584,0.6131471927654584,0.6131471927654584
PLAIN-2640,0.13886244387355454,0.07839826897867533,0.07839826897867533,0.13886244387355454
PLAIN-2650,0.8211494915788773,0.34158460547379954,0.42596335172648864,0.8114951394492824
PLAIN-2660,0.41618115554873086,0.6713860725233041,0.5307212739772434,0.6508205185601091
PLAIN-2670,0.16195671984435944,0.0,0.10797114656290628,0.16195671984435944
PLAIN-2680,0.3239134396887189,0.5282800663700055,0.5556211221925038,0.5443937249297496
