qid,granite_dense,gte_dense,bm25
1201,0.0,0.0,0.0
1202,1.0,1.0,1.0
1203,1.0,1.0,0.0
1204,0.0,0.0,0.0
1205,1.0,1.0,0.0
1206,1.0,1.0,1.0
1207,0.0,0.0,1.0
1208,0.0,0.0,0.0
1209,1.0,1.0,0.0
121,1.0,1.0,1.0
1210,1.0,1.0,0.0
1211,1.0,1.0,0.0
1212,1.0,1.0,1.0
1213,1.0,1.0,0.0
1214,1.0,1.0,1.0
1215,0.0,0.0,0.0
1216,1.0,0.0,0.0
1217,0.0,0.0,0.0
1218,1.0,1.0,1.0
1219,1.0,1.0,1.0
122,0.0,0.0,0.0
1220,0.0,0.0,0.0
1221,1.0,1.0,1.0
1222,1.0,1.0,1.0
1223,1.0,1.0,1.0
1224,0.0,0.0,0.0
1225,0.0,0.0,1.0
1226,0.0,0.0,0.0
1227,1.0,1.0,1.0
1228,1.0,1.0,1.0
1229,0.0,0.0,0.0
123,1.0,1.0,0.0
1230,0.0,0.0,0.0
1231,1.0,1.0,0.0
1232,1.0,1.0,0.0
1233,1.0,1.0,0.0
1234,1.0,1.0,0.0
1235,0.0,0.0,0.0
1236,1.0,1.0,1.0
1237,1.0,1.0,1.0
1238,1.0,1.0,1.0
1239,1.0,1.0,1.0
124,1.0,1.0,1.0
1240,0.0,0.0,1.0
1241,1.0,1.0,0.0
1242,0.0,0.0,0.0
1243,0.0,0.0,0.0
1244,1.0,1.0,1.0
1245,1.0,0.0,1.0
1246,0.0,0.0,0.0
1247,0.0,0.0,0.0
1248,0.0,0.0,0.0
1249,1.0,1.0,0.0
125,0.0,0.0,0.0
1250,0.0,0.0,0.0
1251,1.0,1.0,0.0
1252,0.0,0.0,0.0
1253,1.0,1.0,1.0
1254,1.0,0.0,1.0
1255,1.0,1.0,0.0
1256,0.0,0.0,0.0
1257,0.0,0.0,0.0
1258,0.0,0.0,0.0
1259,1.0,1.0,1.0
126,0.0,0.0,0.0
1260,1.0,1.0,1.0
1261,0.0,0.0,0.0
1262,0.0,0.0,0.0
1263,1.0,1.0,1.0
1264,1.0,1.0,0.0
1265,1.0,1.0,0.0
1266,1.0,1.0,0.0
1267,1.0,1.0,1.0
1268,1.0,1.0,0.0
1269,1.0,1.0,0.0
127,1.0,1.0,1.0
1270,1.0,1.0,1.0
1271,1.0,1.0,0.0
1272,1.0,0.0,0.0
1273,1.0,0.0,0.0
1274,1.0,1.0,1.0
1275,1.0,1.0,1.0
1276,1.0,1.0,1.0
1277,1.0,1.0,1.0
1278,0.0,0.0,0.0
1279,1.0,1.0,1.0
128,1.0,1.0,0.0
1280,1.0,1.0,1.0
1281,1.0,1.0,1.0
1282,0.0,0.0,0.0
1283,0.0,0.0,0.0
1284,1.0,1.0,1.0
1285,0.0,0.0,0.0
1286,1.0,0.0,0.0
1287,1.0,1.0,1.0
1288,0.0,0.0,0.0
1289,1.0,1.0,0.0
129,1.0,1.0,1.0
1290,1.0,0.0,0.0
1291,0.0,0.0,0.0
1292,1.0,0.0,1.0
1293,1.0,1.0,1.0
1294,0.0,0.0,0.0
1295,1.0,1.0,0.0
1296,1.0,1.0,1.0
1297,1.0,1.0,0.0
1298,1.0,0.0,1.0
1299,1.0,1.0,0.0
13,1.0,0.0,0.0
130,0.0,1.0,1.0
1300,0.0,0.0,0.0
1301,0.0,0.0,0.0
1302,1.0,1.0,1.0
1303,0.0,0.0,0.0
1304,0.0,0.0,0.0
1305,0.0,1.0,1.0
1306,1.0,0.0,0.0
1307,0.0,0.0,0.0
1308,1.0,1.0,1.0
1309,0.0,0.0,0.0
131,0.0,1.0,1.0
1310,0.0,0.0,1.0
1311,0.0,1.0,1.0
1312,1.0,0.0,1.0
1313,1.0,1.0,1.0
1314,1.0,1.0,1.0
1315,1.0,1.0,1.0
1316,1.0,1.0,1.0
1317,0.0,0.0,0.0
1318,1.0,1.0,1.0
