qid,granite_dense,granite_small_dense,bm25,st_dense,gte_dense,e5_dense,bge_dense,hybrid_granite_bm25,hybrid_granite_small_bm25,granite_rerank,granite_small_rerank,hybrid_granite_bm25_rerank
PLAIN-1772,0.23840405768933337,0.2411741642702572,0.14397047852848383,0.0,0.0,0.0,0.2705340951674102,0.21565843567379087,0.3989347268493539,0.25822254142819406,0.17139160450692328,0.25822254142819406
PLAIN-1784,0.9363792118010483,0.9363792118010483,0.7849818707050383,0.9363792118010483,0.9363792118010483,0.8701249883466593,0.933745776545611,0.800693766409882,0.793584067764911,0.9363792118010483,0.9363792118010483,0.9363792118010483
PLAIN-1794,0.3180396301625113,0.5483209252750233,0.15423215925316425,0.33901920430175153,0.5182917056196962,0.15423215925316425,0.5313746581594228,0.24445218882151876,0.4940907085832502,0.34973201611667765,0.38506328086903757,0.34973201611667765
PLAIN-1805,0.31226233291544175,0.18701145604403493,0.37456050428247883,0.2996484034259831,0.3467642742028134,0.11591982604869,0.2012654615715974,0.24435274837880966,0.37456050428247883,0.3576083164503281,0.3576083164503281,0.3576083164503281
PLAIN-1817,0.4537425745411855,0.4537425745411855,0.3589542101716347,0.3589542101716347,0.3589542101716347,0.4690000933206748,0.4440973278132557,0.42838543210841196,0.43735247915031,0.3589542101716347,0.3589542101716347,0.3589542101716347
PLAIN-1827,0.16961510979410432,0.1374235060207817,0.10359825042259051,0.24552175996987075,0.1374235060207817,0.03788716675548454,0.07171242235367575,0.11518960751715446,0.13375889861726648,0.15323859676179646,0.15323859676179646,0.15323859676179646
PLAIN-1837,0.5998254955960036,0.5803119626696572,0.1940955508805761,0.6247113324151853,0.6499590469680815,0.5998254955960036,0.6247113324151853,0.540450335584067,0.4590828233913731,0.6347586605097095,0.6347586605097095,0.6347586605097095
PLAIN-1847,0.49912026938777576,0.47722443954045024,0.28952298823485745,0.40927271516050273,0.4779671403625729,0.3747007781860453,0.5723863043146572,0.40067051810063,0.40317139387402184,0.4440973278132557,0.4440973278132557,0.4440973278132557
PLAIN-1857,0.8974416663360282,0.7354776644450403,0.22009176629808017,0.06980907277687454,0.7596592991547714,0.40672624319650735,0.7414171277251379,0.471712692609417,0.43828689407543014,0.16749583949064215,0.16749583949064215,0.16749583949064215
PLAIN-186,0.09478836436955078,0.08514311764162098,0.22009176629808017,0.11004588314904008,0.13886244387355454,0.0,0.08514311764162098,0.13886244387355454,0.13886244387355454,0.17993148201117176,0.20483424751859086,0.17993148201117176
PLAIN-1867,0.933745776545611,0.8603818544462509,0.4440973278132557,0.5766882048947064,0.7967610662472993,0.7720617383222417,0.793584067764911,0.5326208815196265,0.5988751049740155,0.7034066032439746,0.7034066032439746,0.7034066032439746
PLAIN-1877,0.6317299614276957,0.514797608144508,0.6009053751727895,0.6193550448595394,0.5666695637293626,0.5265327615890654,0.5240592723756146,0.5942330600063921,0.592873080907573,0.5061874582840782,0.5061874582840782,0.5061874582840782
PLAIN-1887,0.696162268139923,0.6987957033953602,0.43231813227099475,0.31488013066763093,0.5736899196572436,0.6489315753318465,0.6489315753318465,0.4440973278132557,0.4537425745411855,0.6020521034564038,0.6020521034564038,0.6020521034564038
PLAIN-1897,0.24655055544758614,0.30887207873939243,0.1681522864689108,0.15850703974098102,0.2618080742270754,0.27848058942730364,0.36688932205736147,0.17993148201117176,0.19518900079066107,0.06625422345438903,0.06625422345438903,0.06625422345438903
PLAIN-1909,0.2996484034259831,0.2996484034259831,0.2996484034259831,0.2996484034259831,0.2996484034259831,0.2996484034259831,0.2996484034259831,0.2996484034259831,0.2996484034259831,0.2996484034259831,0.2996484034259831,0.2996484034259831
PLAIN-1919,0.4443059129387836,0.4328083645901753,0.38225200651112173,0.21565843567379087,0.41853197268825826,0.3979514306711175,0.4835340953847351,0.2882001116838787,0.2882001116838787,0.6001195790542752,0.6001195790542752,0.6001195790542752
PLAIN-1929,0.7628045350235669,0.7038901083728005,0.11004588314904008,0.4586933055246946,0.7962923166182121,0.3827228533632141,0.6726881316405611,0.34301849170611365,0.37614560343330816,0.32265009996205196,0.28952298823485745,0.32265009996205196
PLAIN-1940,0.41528076708874123,0.40002324830925196,0.22009176629808017,0.3499667779514209,0.22009176629808017,0.36211082347570717,0.30523488393970116,0.22009176629808017,0.22009176629808017,0.3995688713838975,0.3963918729015093,0.3995688713838975
PLAIN-1950,0.5562095200447539,0.31810863635132614,0.1890570933316362,0.3995312045679774,0.5653924311876646,0.4248455512571054,0.5885882978996136,0.3995312045679774,0.3941769500918012,0.2996484034259831,0.2996484034259831,0.2996484034259831
PLAIN-196,0.0,0.0,0.06943122193677727,0.0,0.06943122193677727,0.0,0.06943122193677727,0.06943122193677727,0.06625422345438903,0.06943122193677727,0.06943122193677727,0.06943122193677727
PLAIN-1962,0.6708298207508385,0.617085055228343,0.5243615183777302,0.6708298207508385,0.6738829170433892,0.6263380278851488,0.6263380278851488,0.6074363483752961,0.5889304030616844,0.6687203801353125,0.6687203801353125,0.6687203801353125
PLAIN-1972,0.3570764765963919,0.4897463359048338,0.17673466814601568,0.22082856303278728,0.3410521416248223,0.16749583949064215,0.211566540930184,0.3340514446642156,0.4362508324335776,0.1061923470197622,0.11682540412155266,0.1061923470197622
PLAIN-1983,0.7899521877203068,0.7175655309296076,0.34062143532990763,0.6898704960873027,0.6022167090575358,0.5598178595425355,0.63454833142056,0.5186733033516749,0.43470516944999715,0.6638725093422916,0.6638725093422916,0.6638725093422916
PLAIN-1995,0.7654291710816226,0.7353373255374843,0.45545502446461517,0.6935601773887123,0.7244611349471096,0.6602104310108057,0.7645002128630884,0.5415829507547317,0.5415829507547317,0.6005028224273261,0.6005028224273261,0.6005028224273261
PLAIN-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLAIN-2009,0.501497501605074,0.5784155428994129,0.5560371451169083,0.6302525924171174,0.5825156871050318,0.6252993962626551,0.583625426709918,0.5904716751396284,0.5931636593175234,0.6056754341619257,0.5721032072586232,0.6065900798643729
PLAIN-2019,0.4050322018673231,0.11938030061496983,0.0,0.2259617509448683,0.2927907041760802,0.3453420515598381,0.364509564209082,0.232361176087404,0.0,0.0,0.0,0.0
PLAIN-2030,0.32336634959917104,0.4149975146795807,0.3899358445195752,0.2263435237294117,0.28819914104132477,0.3723682449736698,0.473413681461038,0.4275785953734856,0.49328967904059157,0.2723447497606256,0.2723447497606256,0.2723447497606256
PLAIN-2040,0.4521747390582773,0.4546623781631593,0.39744165090973377,0.5159279906430368,0.43667107277004463,0.4579736993869816,0.4696332137979939,0.3868276471365608,0.4415506263642541,0.390434277016903,0.390434277016903,0.390434277016903
PLAIN-2051,0.8630152897016883,0.7819835854675755,0.6371523797895856,0.5431962431854865,0.8298881779744938,0.7007731679885374,0.8251154201194959,0.7125523635307982,0.7222954974312066,0.7174239304810024,0.6807419694313224,0.7174239304810024
PLAIN-2061,0.424926013816671,0.40995091484653445,0.40853591842579556,0.2999050316974944,0.424926013816671,0.4690000933206748,0.424926013816671,0.4690000933206748,0.4690000933206748,0.3436966913921454,0.3436966913921454,0.3436966913921454
PLAIN-207,0.34973201611667765,0.4632221438995887,0.0,0.1233024431522993,0.3710252691441564,0.12222609441075938,0.15860014256708838,0.1913164224125581,0.11785811109683524,0.3066849266689168,0.3205007356832299,0.3066849266689168
PLAIN-2071,0.0945285466658181,0.04994140057099718,0.15905431817566307,0.05336845745288964,0.04726427333290905,0.05336845745288964,0.06452577150984495,0.2497070028549859,0.17479490199849013,0.20778411473733654,0.20778411473733654,0.20778411473733654
PLAIN-2081,0.0,0.0,0.05854439592831931,0.0,0.0,0.0,0.0,0.07078380180254001,0.05854439592831931,0.0,0.0,0.0
PLAIN-2092,0.1215432127090705,0.11671218210122507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11671218210122507,0.11671218210122507,0.0
PLAIN-2102,0.4030302838010049,0.6387878864795979,0.31939394323979897,0.27511096828801057,0.6387878864795979,0.6387878864795979,0.6387878864795979,0.4030302838010049,0.4030302838010049,0.4030302838010049,0.4030302838010049,0.4030302838010049
PLAIN-2113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLAIN-2124,0.4379165285089752,0.11458000193535332,0.0,0.0,0.16392692279291401,0.0,0.0,0.12687550918043283,0.0,0.11458000193535332,0.11002574107570623,0.11458000193535332
PLAIN-2134,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PLAIN-2145,0.08442111803551768,0.0732095274674965,0.0732095274674965,0.0,0.0,0.0,0.0,0.10907458963273321,0.10907458963273321,0.08442111803551768,0.0732095274674965,0.08442111803551768
PLAIN-2156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLAIN-2167,0.12025967902718647,0.0,0.13956838328637605,0.15537907391531905,0.15537907391531905,0.227626228959616,0.1803895185407797,0.13956838328637605,0.12025967902718647,0.0,0.0,0.0
PLAIN-217,0.5541432109622958,0.5100691314582919,0.3589542101716347,0.5637884576902256,0.4537425745411855,0.42838543210841196,0.5107164012496701,0.42520843362602373,0.42257499837058643,0.5423640154200349,0.5423640154200349,0.5423640154200349
PLAIN-2177,0.0,0.0,0.10026710274415573,0.0,0.0,0.0,0.0,0.09382844813642036,0.0,0.0,0.0,0.0
PLAIN-2187,0.47842151728792726,0.40002324830925196,0.3589542101716347,0.4690000933206748,0.424926013816671,0.424926013816671,0.4537425745411855,0.42257499837058643,0.42520843362602373,0.21501812929496175,0.21501812929496175,0.21501812929496175
PLAIN-2197,0.3438685520001376,0.3438685520001376,0.20436662668128655,0.3239134396887189,0.20436662668128655,0.3438685520001376,0.3438685520001376,0.3065499400219298,0.3123377732441928,0.3239134396887189,0.3239134396887189,0.3239134396887189
PLAIN-2209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLAIN-2220,0.3607790370815594,0.3607790370815594,0.3607790370815594,0.3607790370815594,0.3607790370815594,0.3607790370815594,0.3607790370815594,0.3607790370815594,0.3607790370815594,0.3607790370815594,0.3607790370815594,0.3607790370815594
PLAIN-2230,0.0,0.0,0.0,0.09750766134500027,0.09363198218564917,0.0,0.09750766134500027,0.0,0.0,0.0,0.0,0.0
