qid,granite_dense,bm25,hybrid_granite_bm25,convex_hybrid_granite_bm25
3512,0.4539036202482202,0.0,0.21252302622743086,0.4329261794091841
3528,0.6509209298071326,0.38685280723454163,0.6240505200038379,0.6509209298071326
3530,0.8318724637288826,0.8048099750039491,0.8318724637288826,0.8318724637288826
3534,0.6713860725233041,0.46927872602275644,0.4632423659320675,0.7039180890341347
3566,0.0,0.6131471927654584,0.38685280723454163,0.19342640361727081
3569,0.15101961822780524,0.0,0.11751610475642714,0.15101961822780524
3594,0.0,0.0,0.0,0.0
3612,0.43067655807339306,0.3010299956639812,0.43067655807339306,0.38685280723454163
3615,1.0,0.6309297535714575,1.0,1.0
3625,0.0,0.0,0.0,0.0
3682,1.0,0.7903864795495061,1.0,1.0
3683,0.0,0.0,0.0,0.0
3694,0.47338717040861195,0.0,0.22082856303278728,0.46664232174566633
3724,0.23719771276929622,0.0,0.0,0.20438239758848611
3735,0.298254219601818,0.15101961822780524,0.3080351663449861,0.4110993609507533
3759,0.14606834984270645,0.0,0.10699313236726378,0.14606834984270645
3767,0.6713860725233041,0.23463936301137822,0.46927872602275644,0.6713860725233041
3771,0.9060254355346823,0.0,0.5498407734605131,0.9060254355346823
3781,0.0,0.16958010263680806,0.21398626473452756,0.0
3789,0.0,0.0,0.0,0.0
3791,0.38685280723454163,0.0,0.19342640361727081,0.38685280723454163
3801,0.9447176050778178,0.9828920819566879,1.0,0.9493885684853097
3822,0.0,0.0,0.0,0.0
3829,1.0,0.18457569677956817,0.5,1.0
3830,0.11284514134893527,0.0,0.0,0.11284514134893527
3837,0.0,0.0,0.0,0.0
3859,0.0,0.0,0.0,0.0
3875,0.6131471927654584,0.6131471927654584,0.6131471927654584,0.6131471927654584
3888,0.0,0.0,0.0,0.0
3909,0.553486104522623,0.0,0.23599633571930026,0.502373740777944
3932,0.38685280723454163,0.0,0.2890648263178879,0.3333333333333333
3934,0.0,0.0,0.0,0.31546487678572877
3995,0.0,0.0,0.0,0.0
4007,0.5316900945208328,0.0,0.13565197343244778,0.4967432029864875
4011,0.0,0.0,0.0,0.0
4019,0.9668342083190152,0.639945385422766,0.843537875344446,0.9668342083190152
4031,0.8627545507313896,0.30260241349881345,0.6753197893820488,0.8627545507313896
4037,0.6131471927654584,0.6131471927654584,0.6131471927654584,0.6131471927654584
4047,0.6131471927654584,0.0,0.20438239758848611,0.6131471927654584
4071,0.5413996682199069,0.5855700749881525,0.5585075862632192,0.5413996682199069
4084,0.5975087322498515,0.5399294342072939,0.6494328041632133,0.652553596282728
4102,0.787702056960637,0.5205067333228022,0.787702056960637,0.787702056960637
4103,1.0,0.9197207891481876,1.0,1.0
4105,0.0,0.0,0.0,0.0
4116,0.4690000933206748,0.0,0.30240383049385083,0.4537425745411855
4125,0.41618115554873086,0.0,0.1480409554829326,0.40179981797758046
4142,0.6509209298071326,0.6131471927654584,0.8175295903539445,0.6934264036172708
4153,0.0,0.0,0.0,0.0
4179,0.0,0.0,0.0,0.0
4188,0.6309297535714575,1.0,1.0,1.0
42,0.5,0.0,0.3333333333333333,0.5
4205,0.6309297535714575,0.0,0.3562071871080222,0.6309297535714575
4233,0.14126697285982898,0.0,0.0,0.13565197343244778
4265,1.0,0.0,0.3562071871080222,1.0
4286,0.0,0.16716045496620227,0.0,0.0
4289,0.0,0.0,0.0,0.0
4306,1.0,0.6131471927654584,0.9197207891481876,1.0
4312,0.3692312710536414,0.2423936099728648,0.2816249726597774,0.38249244382604847
4335,0.0,0.0,0.0,0.0
4339,0.6131471927654584,0.0,0.23719771276929622,0.6131471927654584
4394,0.7653606369886217,0.6257049680303419,0.7653606369886217,0.7653606369886217
4409,1.0,0.0,0.31546487678572877,1.0
4411,0.6461438622906606,0.08274602130532002,0.3794680870595663,0.6134433136321192
4414,0.732296200528563,0.18293214719087553,0.2987100207034456,0.735916889650613
4415,0.0,0.0,0.0,0.0
4433,0.3391602052736161,0.0,0.11305340175787204,0.3391602052736161
4447,0.0,0.0,0.0,0.0
4464,1.0,1.0,1.0,1.0
4465,1.0,1.0,1.0,1.0
4484,0.8048099750039491,0.7757386182436072,0.8318724637288826,0.8318724637288826
4499,1.0,0.6309297535714575,1.0,1.0
4500,0.0,0.0,0.0,0.0
4504,0.0,0.0,0.0,0.0
4514,0.3010299956639812,0.0,0.0,0.3010299956639812
4523,0.0,0.0,0.0,0.0
4539,1.0,0.3333333333333333,1.0,1.0
4571,1.0,0.0,0.5012658353418871,1.0
4600,1.0,0.0,0.31546487678572877,1.0
4605,0.46927872602275644,0.46927872602275644,0.46927872602275644,0.46927872602275644
4615,1.0,0.0,0.31546487678572877,1.0
4640,0.0,0.0,0.0,0.0
4641,0.8175295903539445,0.20438239758848611,0.6131471927654584,0.8503449055347546
4678,0.7653606369886217,0.40179981797758046,0.8854598815714874,0.7653606369886217
4681,0.38685280723454163,0.0,0.2640681225725909,0.38685280723454163
4700,0.38268031849431083,0.39106560501896365,0.4367467095119258,0.40179981797758046
4714,0.0,0.0,0.0,0.0
475,0.0,0.0,0.0,0.0
4756,1.0,0.38364913903790027,0.9066276098484507,1.0
4767,0.3010299956639812,0.0,0.0,0.3010299956639812
4775,1.0,1.0,1.0,1.0
4777,0.0,0.0,0.0,0.0
4785,0.6131471927654584,0.0,0.2640681225725909,0.6131471927654584
4804,0.0,0.5,1.0,0.0
4813,0.6364391809889587,0.6364391809889587,0.7653606369886217,0.6713860725233041
4823,0.5032251913410369,0.0,0.11751610475642714,0.3903800499921017
4827,0.0,0.0,0.0,0.0
4837,0.38685280723454163,0.0,0.2890648263178879,0.38685280723454163
4844,0.0,0.0,0.0,0.0
4845,0.0,0.0,0.0,0.0
4846,0.6309297535714575,0.6309297535714575,1.0,1.0
4863,0.0,0.0,0.0,0.0
4865,0.0,0.0,0.0,0.0
4920,1.0,0.21840743681816419,0.9197207891481876,1.0
4942,0.0,0.5,0.5,0.0
4946,0.0,0.0,0.0,0.0
4955,0.6131471927654584,0.0,0.17723928678404774,0.6131471927654584
4962,1.0,0.2890648263178879,1.0,1.0
4968,1.0,1.0,1.0,1.0
4981,0.8315546295836225,0.0,0.38685280723454163,0.8175295903539445
4999,1.0,1.0,1.0,1.0
5021,0.6131471927654584,0.21840743681816419,0.6131471927654584,0.6131471927654584
503,0.5834330535576521,0.33013764944712026,0.5174612499126158,0.5795003533950692
5030,0.6309297535714575,1.0,0.6309297535714575,0.6309297535714575
504,0.2640681225725909,0.0,0.18457569677956817,0.3065735963827292
5045,0.0,0.0,0.0,0.0
5054,0.3010299956639812,0.43067655807339306,1.0,0.3562071871080222
5061,0.0,0.0,0.0,0.0
5064,0.10699313236726378,0.0,0.0,0.10699313236726378
