qid,granite_dense,gte_dense,bm25
135,0.0,0.0,0.0
1350,0.0,0.5,0.0
1351,0.75,0.75,0.25
1352,0.0,0.0,0.0
1353,0.5,0.5,0.0
1354,0.25,0.0,0.25
1355,0.0,0.0,0.0
1356,1.0,1.0,1.0
1357,0.25,0.5,0.25
1358,1.0,0.5,0.5
1359,0.5,0.25,0.25
136,0.5,0.75,0.25
1360,0.25,0.25,0.0
1361,0.0,0.0,0.0
1362,0.0,0.0,0.0
1363,0.5,0.75,0.5
1364,0.25,0.25,0.0
1365,0.0,0.0,0.0
1366,0.0,0.0,0.0
1367,0.25,0.25,0.0
1368,0.25,0.5,0.5
1369,0.25,0.25,0.0
137,0.25,0.0,0.0
1370,0.0,0.25,0.25
1371,0.25,0.25,0.0
1372,0.0,0.0,0.0
1373,0.75,0.5,0.5
1374,0.25,0.5,0.25
1375,0.5,0.5,0.5
1376,0.25,0.25,0.5
1377,0.0,0.0,0.0
1378,0.5,0.5,0.5
1379,0.25,0.25,0.0
138,0.0,0.25,0.25
1380,0.25,0.0,0.0
1381,0.0,0.0,0.0
1382,0.25,0.25,0.0
1383,0.5,0.5,0.5
1384,0.25,0.25,0.0
1385,0.5,0.5,0.5
1386,0.25,0.0,0.25
1387,0.0,0.0,0.0
1388,0.5,0.25,0.0
1389,0.0,0.0,0.0
139,0.25,0.25,0.25
1390,0.25,0.25,0.0
1391,0.25,0.5,0.25
1392,0.25,0.25,0.0
1393,0.25,0.25,0.0
1394,0.25,0.25,0.5
1395,0.25,0.0,0.0
1396,0.75,0.5,0.75
1397,0.75,1.0,0.75
1398,0.75,1.0,1.0
1399,0.5,0.5,0.5
14,0.25,0.5,0.25
140,0.75,1.0,0.0
1400,0.0,0.0,0.0
1401,0.25,0.25,0.0
1402,0.5,0.5,0.0
1403,0.25,0.25,0.0
1404,0.25,0.5,0.25
1405,0.5,0.0,0.0
1406,0.75,1.0,0.25
1407,0.75,0.75,0.25
1408,0.5,0.5,0.25
1409,0.5,0.0,0.25
141,0.25,0.0,0.25
1410,0.75,0.5,0.25
1411,0.25,0.0,0.0
1412,0.0,0.0,0.0
1413,0.75,0.5,0.25
1414,0.5,0.5,0.0
1415,0.5,0.75,0.5
1416,0.0,0.0,0.0
1417,0.25,0.25,0.0
1418,0.25,0.25,0.0
1419,0.5,0.75,0.5
142,0.5,0.25,0.25
1420,0.5,0.5,0.25
1421,0.0,0.0,0.0
1422,0.25,0.25,0.0
1423,0.0,0.0,0.25
1424,0.25,0.25,0.0
1425,0.5,0.25,0.0
1426,0.5,0.5,0.25
1427,0.0,0.25,0.0
1428,0.25,0.25,0.25
1429,0.25,0.25,0.25
143,0.25,0.75,0.25
1430,0.75,0.75,0.25
1431,0.5,0.25,0.0
1432,0.5,0.0,0.0
1433,0.25,0.25,0.0
1434,0.5,0.75,0.75
1435,0.75,1.0,0.25
1436,0.5,0.5,0.25
1437,0.0,0.25,0.0
1438,0.5,0.5,0.25
1439,0.25,0.5,0.25
144,0.75,1.0,0.25
1440,0.25,0.25,0.0
1441,0.0,0.0,0.0
1442,0.25,0.25,0.25
1443,0.25,0.25,0.0
1444,0.0,0.25,0.75
1445,0.25,0.25,0.0
1446,0.25,0.5,0.25
1447,0.5,0.5,0.5
