qid,granite_dense,bm25,splade,convex_hybrid_granite_bm25,convex_hybrid_granite_splade
3480,0.2685529228900211,0.0,0.0,0.2614432242450501,0.2614432242450501
3490,0.20210734650054757,0.0,0.0,0.15642624200758548,0.18154179253735267
3500,0.0,0.0,0.0,0.0,0.0
3503,0.32097939710179135,0.0,0.0,0.16958010263680806,0.14606834984270645
3512,0.4539036202482202,0.0,0.09109240322345806,0.3079834593168982,0.4539036202482202
3528,0.6509209298071326,0.38685280723454163,0.6934264036172708,0.6240505200038379,0.6934264036172708
3530,0.8318724637288826,0.8048099750039491,0.8318724637288826,0.8318724637288826,0.8318724637288826
3534,0.6713860725233041,0.46927872602275644,0.0,0.7039180890341347,0.40179981797758046
3566,0.0,0.6131471927654584,0.6131471927654584,0.6131471927654584,0.38685280723454163
3569,0.15101961822780524,0.0,0.0,0.15101961822780524,0.19519002499605084
3594,0.0,0.0,0.0,0.0,0.0
3612,0.43067655807339306,0.3010299956639812,1.0,0.3562071871080222,0.6309297535714575
3615,1.0,0.6309297535714575,1.0,1.0,1.0
3625,0.0,0.0,0.0,0.0,0.0
3682,1.0,0.7903864795495061,1.0,1.0,1.0
3683,0.0,0.0,0.0,0.0,0.0
3694,0.47338717040861195,0.0,0.06362078819895171,0.3764459522792426,0.39767223286316733
3724,0.23719771276929622,0.0,0.0,0.20438239758848611,0.20438239758848611
3735,0.298254219601818,0.15101961822780524,0.0,0.2811463015585058,0.0
3759,0.14606834984270645,0.0,0.0,0.14606834984270645,0.21398626473452756
3767,0.6713860725233041,0.23463936301137822,0.7039180890341347,0.6257049680303419,0.7039180890341347
3771,0.9060254355346823,0.0,0.3084274278260313,0.9060254355346823,1.0
3781,0.0,0.16958010263680806,0.0,0.14606834984270645,0.0
3789,0.0,0.0,0.0,0.0,0.0
3791,0.38685280723454163,0.0,0.0,0.3065735963827292,0.19342640361727081
3801,0.9447176050778178,0.9828920819566879,0.8318724637288826,1.0,0.9447176050778178
3822,0.0,0.0,0.0,0.0,0.0
3829,1.0,0.18457569677956817,0.23719771276929622,1.0,1.0
3830,0.11284514134893527,0.0,0.13905617951077562,0.0,0.15101961822780524
3837,0.0,0.0,0.0,0.0,0.0
3859,0.0,0.0,0.0,0.0,0.0
3875,0.6131471927654584,0.6131471927654584,0.7903864795495061,0.6131471927654584,0.7903864795495061
3888,0.0,0.0,0.0,0.0,0.0
3909,0.553486104522623,0.0,0.11751610475642714,0.4852658227346317,0.4852658227346317
3932,0.38685280723454163,0.0,0.0,0.31546487678572877,0.3333333333333333
3934,0.0,0.0,0.6309297535714575,0.3333333333333333,0.5
3995,0.0,0.0,0.0,0.0,0.0
4007,0.5316900945208328,0.0,0.0,0.4967432029864875,0.20210734650054757
4011,0.0,0.0,0.0,0.16716045496620227,0.0
4019,0.9668342083190152,0.639945385422766,0.8687949224876582,0.8687949224876582,0.9708923176105698
4031,0.8627545507313896,0.30260241349881345,0.4329261794091841,0.8573475126545858,0.9704091209634448
4037,0.6131471927654584,0.6131471927654584,0.6131471927654584,0.6131471927654584,0.6131471927654584
4047,0.6131471927654584,0.0,0.0,0.6131471927654584,0.6131471927654584
4071,0.5413996682199069,0.5855700749881525,0.5078961547485289,0.5413996682199069,0.6542448095688422
4084,0.5975087322498515,0.5399294342072939,0.616564105751634,0.7601136219697595,0.6836550817096436
