qid,granite_dense,bm25,splade,convex_hybrid_granite_bm25,convex_hybrid_granite_splade
PLAIN-2051,0.8630152897016883,0.6371523797895856,0.6122496142821665,0.8603818544462509,0.8454256604216017
PLAIN-2061,0.424926013816671,0.40853591842579556,0.30701473034246535,0.4690000933206748,0.3436966913921454
PLAIN-207,0.34973201611667765,0.0,0.10527982729515888,0.2947870444915905,0.27696292240197373
PLAIN-2071,0.0945285466658181,0.15905431817566307,0.09988280114199435,0.14982420171299154,0.05336845745288964
PLAIN-2081,0.0,0.05854439592831931,0.0,0.06358115370045192,0.0
PLAIN-2092,0.1215432127090705,0.0,0.11671218210122507,0.12737140874229602,0.14382143485626836
PLAIN-2102,0.4030302838010049,0.31939394323979897,0.24711688711205218,0.31939394323979897,0.31939394323979897
PLAIN-2113,0.0,0.0,0.0,0.0,0.0
PLAIN-2124,0.4379165285089752,0.0,0.07362322034364345,0.38062652754129855,0.2581042161277393
PLAIN-2134,1.0,1.0,1.0,1.0,1.0
PLAIN-2145,0.08442111803551768,0.0732095274674965,0.10907458963273321,0.07989569279756416,0.08442111803551768
PLAIN-2156,0.0,0.0,0.0,0.0,0.0
PLAIN-2167,0.12025967902718647,0.13956838328637605,0.0,0.13956838328637605,0.113813114479808
PLAIN-217,0.5541432109622958,0.3589542101716347,0.4440973278132557,0.513528549750033,0.5231737964779628
PLAIN-2177,0.0,0.10026710274415573,0.0,0.0,0.0
PLAIN-2187,0.47842151728792726,0.3589542101716347,0.4440973278132557,0.4537425745411855,0.5199967979955745
PLAIN-2197,0.3438685520001376,0.20436662668128655,0.20436662668128655,0.3438685520001376,0.36632334652564597
PLAIN-2209,0.0,0.0,0.0,0.0,0.0
PLAIN-2220,0.3607790370815594,0.3607790370815594,0.3607790370815594,0.3607790370815594,0.3607790370815594
PLAIN-2230,0.0,0.0,0.0,0.0,0.0
PLAIN-2240,0.0,0.0,0.0,0.0,0.0
PLAIN-2250,0.3273949503887395,0.3273949503887395,0.3273949503887395,0.3273949503887395,0.3273949503887395
PLAIN-2261,0.5494063797702666,0.0,0.38062652754129855,0.526027743527972,0.526027743527972
PLAIN-227,0.0,0.0,0.0,0.0,0.0
PLAIN-2271,0.43122038713502525,0.49354571029098443,0.43122038713502525,0.43122038713502525,0.43122038713502525
PLAIN-2281,0.2640681225725909,0.3065735963827292,0.38685280723454163,0.38685280723454163,0.38685280723454163
PLAIN-2291,0.38685280723454163,0.19342640361727081,0.2640681225725909,0.3065735963827292,0.38685280723454163
PLAIN-23,0.1746103421078289,0.16195671984435944,0.3239134396887189,0.2554582833516082,0.39366440234814437
PLAIN-2301,0.0,0.0,0.0,0.0,0.0
PLAIN-2311,1.0,0.3562071871080222,0.6309297535714575,1.0,0.6309297535714575
PLAIN-2321,0.0,0.0,0.0,0.0,0.0
PLAIN-2332,0.7039180890341347,0.7653606369886217,0.7653606369886217,0.7653606369886217,0.7653606369886217
PLAIN-2343,0.0,0.0,0.0,0.0,0.0
PLAIN-2354,0.6039071644781281,0.43734888382569426,1.0,0.9217868789962071,0.7328286204777911
PLAIN-2364,1.0,0.6309297535714575,0.6309297535714575,1.0,1.0
PLAIN-2375,0.5109559939712153,0.38685280723454163,0.23719771276929622,0.48381288316677695,0.5
PLAIN-238,0.7280855459907165,0.5363559634917963,0.7218018303820491,0.7280855459907165,0.756902106715231
PLAIN-2386,0.3009776153417087,0.4770382338730848,0.6469626813039951,0.4770382338730848,0.4770382338730848
PLAIN-2396,0.0,0.0,0.0,0.0,0.0
PLAIN-2408,0.4617829218766393,0.23214740266135997,0.6230876559119081,0.617449705668599,0.6230876559119081
PLAIN-2430,0.09988280114199435,0.0,0.0,0.14982420171299154,0.10673691490577927
PLAIN-2440,0.8032019779930732,0.07716607426375235,0.7461047301655674,0.7874474081597803,0.7943415442390706
PLAIN-2450,0.425035080064741,0.6173035877688688,0.415081693065718,0.4953751312791229,0.4509737963519493
PLAIN-2460,0.0,0.26350162434003327,0.06978419164318803,0.0521442648465579,0.09019475927038985
PLAIN-2470,0.0,0.06943122193677727,0.0,0.0,0.0
PLAIN-248,0.2874327599926105,0.038356439954197026,0.21034852634332998,0.22814634900353734,0.36582476220328947
PLAIN-2480,0.0,0.09250131737557493,0.35185668051157637,0.09453292111760586,0.3283995684774713
PLAIN-2490,0.0,0.0,0.0,0.0,0.0
PLAIN-2500,0.1854186432062671,0.12991403115678124,0.3607790370815594,0.16441836920670902,0.227626228959616
PLAIN-2510,0.0,0.0,0.0,0.0,0.0
PLAIN-2520,0.0,0.0,0.056906557239904,0.0,0.0
PLAIN-2530,0.12576434436832393,0.0,0.15424289091186652,0.0,0.12317948369684056
PLAIN-2540,0.15537907391531905,0.0,0.3607790370815594,0.113813114479808,0.3607790370815594
PLAIN-2550,0.22976314255676591,0.113813114479808,0.09019475927038985,0.2340727935069945,0.25338149776618407
