qid,granite_dense,q2d_granite,q2d_corroborate
1133,1.0,1.0,0.4666666666666667
1134,1.0,1.0,1.0
1135,1.0,1.0,1.0
1136,1.0,1.0,1.0
1137,1.0,1.0,1.0
1138,1.0,1.0,0.782608695652174
1139,1.0,1.0,1.0
114,0.5,1.0,1.0
1140,1.0,1.0,1.0
1141,1.0,1.0,1.0
1142,1.0,1.0,1.0
1143,1.0,1.0,1.0
1144,0.5555555555555556,1.0,1.0
1145,1.0,0.4642857142857143,0.425531914893617
1146,1.0,1.0,1.0
1147,1.0,1.0,1.0
1148,1.0,1.0,1.0
1149,1.0,1.0,1.0
115,1.0,1.0,1.0
1150,1.0,1.0,1.0
1151,1.0,1.0,1.0
1152,1.0,1.0,1.0
1153,1.0,1.0,1.0
1154,0.868421052631579,1.0,1.0
1155,1.0,1.0,1.0
1156,0.5,1.0,1.0
1157,1.0,1.0,1.0
1158,1.0,1.0,1.0
1159,1.0,1.0,1.0
116,1.0,0.8507462686567164,1.0
1160,0.9166666666666666,0.9166666666666666,1.0
1161,1.0,1.0,1.0
1162,1.0,1.0,1.0
1163,1.0,1.0,1.0
1164,1.0,1.0,1.0
1165,0.631578947368421,0.8666666666666667,0.4166666666666667
1166,1.0,1.0,1.0
1167,1.0,1.0,1.0
1168,1.0,1.0,1.0
1169,1.0,0.6410256410256411,0.6410256410256411
117,1.0,1.0,1.0
1170,1.0,1.0,1.0
1171,1.0,1.0,1.0
1172,0.0,0.0,0.0
1173,1.0,1.0,1.0
1174,1.0,1.0,1.0
1175,1.0,1.0,1.0
1176,0.6588235294117647,1.0,0.0
1177,1.0,1.0,1.0
1178,0.0,1.0,1.0
1179,1.0,1.0,1.0
118,1.0,1.0,0.3333333333333333
1180,1.0,1.0,1.0
1181,0.6666666666666666,0.6666666666666666,0.6666666666666666
1182,1.0,1.0,1.0
1183,0.0,0.6842105263157895,0.6842105263157895
1184,1.0,1.0,0.0
1185,1.0,1.0,1.0
1186,1.0,1.0,1.0
1187,1.0,1.0,0.3333333333333333
1188,1.0,1.0,1.0
1189,1.0,1.0,1.0
119,1.0,1.0,1.0
1190,1.0,1.0,1.0
1191,0.9375,1.0,1.0
1192,0.45454545454545453,1.0,1.0
1193,1.0,1.0,1.0
1194,0.5238095238095238,0.4017857142857143,0.7857142857142857
1195,1.0,0.5357142857142857,1.0
1196,0.7333333333333333,0.7333333333333333,0.7333333333333333
1197,1.0,1.0,1.0
1198,1.0,1.0,1.0
1199,1.0,1.0,1.0
12,1.0,1.0,1.0
120,1.0,1.0,0.5
1200,1.0,1.0,1.0
1201,1.0,1.0,1.0
1202,1.0,1.0,1.0
1203,1.0,1.0,1.0
1204,1.0,1.0,1.0
1205,1.0,1.0,1.0
1206,1.0,1.0,1.0
1207,1.0,1.0,1.0
